CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
5A,500 SHERIDAN AVE,BURGLARY,Other,M,46.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-05-14,9:00 PM,2023,14,May
5A,500 SHERIDAN AVE,BURGLARY,Other,F,78.0,OTHER,NORTHERN,2023-05-14,9:00 PM,2023,14,May
7C,800 HERNDON CT,AUTO THEFT,Other,F,56.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-05-14,6:00 AM,2023,14,May
7C,300 ALBEMARLE ST,AUTO THEFT,Other,F,64.0,OTHER,SOUTHEAST,2023-05-14,7:30 PM,2023,14,May
4B,1800 DESOTO RD,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,19.0,WHITE,SOUTHWEST,2023-05-14,4:00 PM,2023,14,May
6F,800 S ANN ST,LARCENY,Other,F,33.0,WHITE,SOUTHEAST,2023-06-11,6:15 AM,2023,11,June
6F,100 E RANDALL ST,LARCENY,Other,F,31.0,OTHER,SOUTHERN,2023-06-11,6:30 PM,2023,11,June
5F,200 W LAFAYETTE AVE,BURGLARY,Other,F,40.0,WHITE,CENTRAL,2023-06-11,6:00 PM,2023,11,June
5F,200 W LAFAYETTE AVE,BURGLARY,Other,M,42.0,WHITE,CENTRAL,2023-06-11,6:00 PM,2023,11,June
6G,4100 MOUNTWOOD RD,LARCENY,Other,F,61.0,WHITE,SOUTHWEST,2023-06-11,4:30 PM,2023,11,June
6G,4100 MOUNTWOOD RD,LARCENY,Other,M,63.0,WHITE,SOUTHWEST,2023-06-11,4:30 PM,2023,11,June
6F,400 W MONUMENT ST,LARCENY,Other,M,24.0,WHITE,CENTRAL,2023-06-11,5:20 PM,2023,11,June
6D,4500 EASTERN AVE,LARCENY FROM AUTO,Other,M,54.0,OTHER,SOUTHEAST,2023-06-11,5:20 PM,2023,11,June
7C,1200 EUTAW PL,AUTO THEFT,Other,F,68.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-11,1:35 PM,2023,11,June
7C,1200 EUTAW PL,AUTO THEFT,Other,F,31.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-11,1:35 PM,2023,11,June
8H,5200 READY AVE,ARSON,Other,F,1.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-06-11,6:00 AM,2023,11,June
8H,5200 READY AVE,ARSON,Other,F,34.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-06-11,6:00 AM,2023,11,June
3P,1500 RUSSELL ST,ROBBERY,BLUNT_OBJECT,M,38.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-06-11,1:35 PM,2023,11,June
8H,5200 READY AVE,ARSON,Other,M,2.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-06-11,6:00 AM,2023,11,June
6D,100 S MONROE ST,LARCENY FROM AUTO,Other,M,38.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,2023-06-12,4:30 AM,2023,12,June
6D,400 FOLCROFT ST,LARCENY FROM AUTO,Other,F,58.0,ASIAN,SOUTHEAST,2023-06-11,9:00 PM,2023,11,June
7C,1700 E LAFAYETTE AVE,AUTO THEFT,Other,M,47.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-06-11,8:00 AM,2023,11,June
4E,500 S LAKEWOOD AVE,COMMON ASSAULT,Other,F,61.0,WHITE,SOUTHEAST,2023-06-11,7:00 AM,2023,11,June
4E,2100 E BALTIMORE ST,COMMON ASSAULT,Other,F,40.0,WHITE,SOUTHEAST,2023-05-05,5:45 PM,2023,5,May
4E,3600 COTTAGE AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,35.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-06,4:36 AM,2023,6,May
5F,5200 FRANKFORD AVE,BURGLARY,Other,F,41.0,WHITE,NORTHEAST,2023-05-06,12:00 AM,2023,6,May
4E,1600 VINCENT CT,COMMON ASSAULT,PERSONAL_WEAPONS,M,14.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-05-06,5:25 AM,2023,6,May
4E,400 E BALTIMORE ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,20.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-05-06,4:45 AM,2023,6,May
3AO,2300 BOSTON ST,ROBBERY,PERSONAL_WEAPONS,F,35.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-05-06,5:10 AM,2023,6,May
6F,2300 ORLEANS ST,LARCENY,Other,M,60.0,WHITE,SOUTHEAST,2023-05-05,5:20 PM,2023,5,May
2A,1300 W HAMBURG ST,RAPE,UNKNOWN,F,38.0,WHITE,SOUTHERN,2023-05-05,5:20 PM,2023,5,May
4E,2500 PENNSYLVANIA AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,35.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-05-05,6:00 PM,2023,5,May
3AF,4600 HILLEN RD,ROBBERY,HANDGUN,M,21.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-05,4:55 PM,2023,5,May
6F,1100 N CHARLES ST,LARCENY,Other,F,29.0,OTHER,CENTRAL,2023-05-06,3:30 AM,2023,6,May
4B,2700 WASHINGTON BLVD,AGG. ASSAULT,PERSONAL_WEAPONS,M,51.0,WHITE,SOUTHWEST,2023-05-05,7:11 AM,2023,5,May
6D,1500 SYCAMORE ST,LARCENY FROM AUTO,Other,F,34.0,WHITE,SOUTHERN,2023-05-05,7:00 PM,2023,5,May
