CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"6/22/2023, 5:00 AM",7C,100 W 39TH ST,AUTO THEFT,,M,28,ASIAN,NORTHERN
"6/22/2023, 4:15 AM",7C,4400 MORAVIA RD,AUTO THEFT,,F,36,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"6/22/2023, 3:00 AM",6J,500 OLDHAM ST,LARCENY,,M,32,UNKNOWN,SOUTHEAST
"6/22/2023, 4:00 AM",4E,1400 KUPER ST,COMMON ASSAULT,,M,46,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/21/2023, 3:45 PM",5F,1200 E NORTH AVE,BURGLARY,,F,25,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/22/2023, 5:25 AM",4E,0 LIGHT ST,COMMON ASSAULT,OTHER,F,26,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"6/22/2023, 1:00 AM",7C,100 W 27TH ST,AUTO THEFT,,F,36,WHITE,NORTHERN
"6/21/2023, 6:00 PM",7C,400 N LINWOOD AVE,AUTO THEFT,,M,51,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"6/21/2023, 4:00 PM",7C,2400 HAMILTON AVE,AUTO THEFT,,F,40,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"6/21/2023, 7:45 AM",7C,300 E 29TH ST,AUTO THEFT,,M,28,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"6/21/2023, 7:23 AM",3AF,1500 E PRESTON ST,ROBBERY,HANDGUN,M,47,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/21/2023, 8:15 AM",7C,600 N HILTON ST,AUTO THEFT,,F,68,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/21/2023, 7:50 AM",4E,700 N KENWOOD AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,65,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/21/2023, 7:50 AM",4B,700 N KENWOOD AVE,AGG. ASSAULT,PERSONAL_WEAPONS,M,57,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/21/2023, 6:45 PM",4E,1700 PENNSYLVANIA AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,37,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
