CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"6/10/2023, 7:00 PM",4E,3200 LEVERTON AVE,COMMON ASSAULT,,M,32,,SOUTHEAST
"5/30/2023, 8:40 AM",4B,2800 W MULBERRY ST,AGG. ASSAULT,PERSONAL_WEAPONS,F,27,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/30/2023, 6:54 PM",6F,600 MAUDE AVE,LARCENY,,F,30,,SOUTHERN
"5/30/2023, 8:40 AM",6F,2200 N HOWARD ST,LARCENY,,,,,NORTHERN
"5/30/2023, 6:00 PM",4E,2800 OAKLEY AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,27,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"5/31/2023, 12:50 AM",4E,900 CLAYMONT AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,23,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/31/2023, 1:28 AM",6F,1000 FLEET ST,LARCENY,,M,31,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"5/31/2023, 1:45 AM",4E,3100 E NORTHERN PKWY,COMMON ASSAULT,PERSONAL_WEAPONS,F,43,WHITE,NORTHEAST
"5/31/2023, 2:00 AM",4E,3000 S HANOVER ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,31,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"5/31/2023, 2:25 AM",4B,2400 E FEDERAL ST,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,43,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"5/31/2023, 2:47 AM",4E,5500 Bowleys Ln,COMMON ASSAULT,PERSONAL_WEAPONS,M,,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/31/2023, 2:07 AM",4E,900 DUNDALK AVE,COMMON ASSAULT,HANDGUN,U,21,,SOUTHEAST
"5/31/2023, 12:30 AM",4E,1900 EDMONDSON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,25,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/30/2023, 11:30 PM",6D,3700 CLARINTH RD,LARCENY FROM AUTO,,M,48,WHITE,NORTHWEST
"5/31/2023, 1:32 AM",5A,600 N KENWOOD AVE,BURGLARY,,F,28,,SOUTHEAST
"5/30/2023, 11:00 PM",4E,2200 W LEXINGTON ST,COMMON ASSAULT,,F,14,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/30/2023, 11:00 PM",4E,2200 W LEXINGTON ST,COMMON ASSAULT,,M,7,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/30/2023, 11:00 PM",4E,2200 W LEXINGTON ST,COMMON ASSAULT,,M,,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/3/2023, 7:22 AM",6D,5500 Bowleys Ln,LARCENY FROM AUTO,,F,44,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/2/2023, 1:00 PM",4E,600 W LOMBARD ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/2/2023, 9:40 AM",4E,500 ORCHARD ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,36,AMERICAN_INDIAN_OR_ALASKA_NATIVE,CENTRAL
"5/2/2023, 9:40 AM",4E,500 ORCHARD ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,17,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/2/2023, 6:00 PM",5F,200 N LINWOOD AVE,BURGLARY,,M,68,,SOUTHEAST
"5/2/2023, 2:50 PM",4E,2500 EDGECOMBE CIR N,COMMON ASSAULT,PERSONAL_WEAPONS,F,29,WHITE,NORTHERN
"5/2/2023, 11:00 AM",6D,1300 W LEXINGTON ST,LARCENY FROM AUTO,,F,30,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/2/2023, 12:30 PM",6J,7200 Valley Country Ct,LARCENY,,F,39,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"5/2/2023, 6:30 AM",7C,400 THORNFIELD RD,AUTO THEFT,,M,31,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/3/2023, 2:00 AM",7C,600 S BROADWAY,AUTO THEFT,,F,27,,SOUTHEAST
"5/2/2023, 5:00 PM",4E,2500 ALLENDALE RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,8,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"5/2/2023, 10:07 AM",6D,3900 CORSE AVE,LARCENY FROM AUTO,,M,60,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/3/2023, 4:45 AM",3AJF,1600 E 29TH ST,ROBBERY - CARJACKING,PERSONAL_WEAPONS,M,44,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/2/2023, 1:30 PM",4A,6900 REISTERSTOWN RD,AGG. ASSAULT,FIREARM,F,36,WHITE,NORTHWEST
"5/2/2023, 5:22 PM",4A,1100 N FULTON AVE,AGG. ASSAULT,SHOTGUN,M,42,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/3/2023, 2:00 AM",7C,1700 E NORTHERN PKWY,AUTO THEFT,,M,34,,NORTHEAST
"4/23/2023, 2:00 AM",6J,1900 W SARATOGA ST,LARCENY,,F,33,,WESTERN
"4/22/2023, 5:05 PM",6C,4700 ERDMAN AVE,LARCENY,,,,,EASTERN
"4/22/2023, 7:00 PM",6C,3600 KESWICK RD,LARCENY,,,,,NORTHERN
"4/22/2023, 10:59 PM",6F,300 N CHARLES ST,LARCENY,,,,,CENTRAL
"4/22/2023, 7:20 PM",6C,600 E PRATT ST,LARCENY,,,,,CENTRAL
"4/23/2023, 12:30 AM",6D,5500 TODD AVE,LARCENY FROM AUTO,,,,,NORTHEAST
"4/23/2023, 2:35 AM",3CO,4500 ERDMAN AVE,ROBBERY - COMMERCIAL,PERSONAL_WEAPONS,,,,EASTERN
"4/22/2023, 2:55 PM",6C,5200 YORK RD,LARCENY,,,,,NORTHERN
