CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
7C,300 St Paul Place,AUTO THEFT,Other,F,44.0,OTHER,CENTRAL,2023-04-21,12:30 PM,2023,21,April
6F,4700 YORK RD,LARCENY,Other,F,53.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-04-21,5:16 PM,2023,21,April
4B,5500 FORCE RD,AGG. ASSAULT,BLUNT_OBJECT,M,32.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-04-21,9:00 PM,2023,21,April
5F,4200 SHELDON AVE,BURGLARY,Other,M,69.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-04-21,1:58 PM,2023,21,April
4E,1100 KEVIN RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,50.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-04-21,11:40 PM,2023,21,April
6F,100 N CHARLES ST,LARCENY,Other,M,40.0,WHITE,CENTRAL,2023-04-22,12:08 AM,2023,22,April
3AO,100 KANE ST,ROBBERY,PERSONAL_WEAPONS,F,37.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-05-13,2:15 AM,2023,13,May
4E,2200 WALBROOK AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,38.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-05-12,9:00 AM,2023,12,May
7C,5900 MARLUTH AVE,AUTO THEFT,Other,F,33.0,OTHER,NORTHEAST,2023-05-13,2:00 AM,2023,13,May
4E,500 N BRADFORD ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,49.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-05-13,5:48 AM,2023,13,May
4E,5000 TRUESDALE AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,31.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-13,4:40 AM,2023,13,May
4E,200 N Liberty St,COMMON ASSAULT,PERSONAL_WEAPONS,M,23.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-05-13,3:10 AM,2023,13,May
